"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","commonaddress","EV_X","EV_Station.ID","EV_Station.name","EV_Location","EV_Island","EV_Address","EV_City","EV_State","EV_Zip.Code","EV_Latitude","EV_Longitude","EV_Contact.Name","EV_Charge.Fee","EV_Park.Fee","EV_Parking.Lot","EV_Hours","EV_Ports","EV_Restrictions","EV_Number.of.Stations","EV_Charge.Fees","EV_Manufacturers","EV_Charging.Levels","EV_Date.Initially.Added","EV_NewLat","EV_NewLong"
38,"PCC / SOUTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",96762,"Honolulu County","United States",2,"Public","Retail","55-370 Kamehameha Hwy,Laie,Hawaii",NA,NA,38,"PCC / SOUTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",2,"Public","Retail",-157.9211104,21.6407437,"55370KAMEHAMEHAHIGHWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"PCC / SOUTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",96762,"Honolulu County","United States",2,"Public","Retail","55-370 Kamehameha Hwy,Laie,Hawaii",NA,NA,39,"PCC / NORTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",2,"Public","Parks and Recreation",-157.9211104,21.6407437,"55370KAMEHAMEHAHIGHWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"PCC / NORTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",96762,"Honolulu County","United States",2,"Public","Parks and Recreation","55-370 Kamehameha Hwy,Laie,Hawaii",NA,NA,38,"PCC / SOUTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",2,"Public","Retail",-157.9211104,21.6407437,"55370KAMEHAMEHAHIGHWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"PCC / NORTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",96762,"Honolulu County","United States",2,"Public","Parks and Recreation","55-370 Kamehameha Hwy,Laie,Hawaii",NA,NA,39,"PCC / NORTH","Polynesian Cultural Center","55-370 Kamehameha Hwy","Laie","Hawaii",2,"Public","Parks and Recreation",-157.9211104,21.6407437,"55370KAMEHAMEHAHIGHWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"PARKLANE / STATION 5","Parklane Ala Moana","349-365 Piikoi St","Honolulu","Hawaii",96814,"Honolulu County","United States",2,"Public","Multifamily Commercial","349-365 Piikoi St,Honolulu,Hawaii",NA,NA,40,"PARKLANE / STATION 5","Parklane Ala Moana","349-365 Piikoi St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8473915,21.2918092,"349365PIIKOISTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"PARKLANE / STATION 4","Parklane Ala Moana","301-347 Piikoi St","Honolulu","Hawaii",96814,"Honolulu County","United States",2,"Public","Multifamily Commercial","301-347 Piikoi St,Honolulu,Hawaii",NA,NA,41,"PARKLANE / STATION 4","Parklane Ala Moana","301-347 Piikoi St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8477177,21.2909643,"301347PIIKOISTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"PARKLANE / STATION 3","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",96814,"Honolulu County","United States",2,"Public","Multifamily Commercial","1320-1346 HI-92,Honolulu,Hawaii",NA,NA,42,"PARKLANE / STATION 3","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8469145,21.2906244,"13201346HI92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"PARKLANE / STATION 3","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",96814,"Honolulu County","United States",2,"Public","Multifamily Commercial","1320-1346 HI-92,Honolulu,Hawaii",NA,NA,44,"PARKLANE / STATION 1","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8469145,21.2906244,"13201346HI92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"PARKLANE / STATION 2","Parklane Ala Moana","1300-1318 HI-92","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Multifamily Commercial","1300-1318 HI-92,Honolulu,Hawaii",NA,NA,43,"PARKLANE / STATION 2","Parklane Ala Moana","1300-1318 HI-92","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8495787,21.2916685,"13001318HI92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"PARKLANE / STATION 1","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Multifamily Commercial","1320-1346 HI-92,Honolulu,Hawaii",NA,NA,42,"PARKLANE / STATION 3","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8469145,21.2906244,"13201346HI92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"PARKLANE / STATION 1","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Multifamily Commercial","1320-1346 HI-92,Honolulu,Hawaii",NA,NA,44,"PARKLANE / STATION 1","Parklane Ala Moana","1320-1346 HI-92","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8469145,21.2906244,"13201346HI92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"PARKING LOT / HMC1","Hawaii Health Systems Hilo Medical Center","1151-1185 Waianuenue Ave","Hilo","Hawaii",96720,"Hawaii County","United States",2,"Public","Healthcare","1151-1185 Waianuenue Ave,Hilo,Hawaii",NA,NA,45,"PARKING LOT / HMC1","Hawaii Health Systems Hilo Medical Center","1151-1185 Waianuenue Ave","Hilo","Hawaii",2,"Public","Healthcare",-155.1112456,19.7177122,"11511185WAIANUENUEAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,50,"NAVFAC / JBPHH #5","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,51,"NAVFAC / JBPHH #4","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,52,"NAVFAC / JBPHH #3","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,53,"NAVFAC / JBPHH #2","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",96818,"Honolulu County","United States",2,"Public","Government (Fed, State)","35 Russell Ave,JBPHH,Hawaii",NA,NA,54,"NAVFAC / JBPHH #1","NAVFAC","35 Russell Ave","JBPHH","Hawaii",2,"Public","Government (Fed, State)",-157.9534035,21.3488979,"35RUSSELLAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"NAVFAC / BLDG 166 INDOOR","NAVFAC","Bldg 166 South Ave","Pearl Harbor","Hawaii",96860,"Honolulu County","United States",1,"Public","Government (Fed, State)","Bldg 166 South Ave,Pearl Harbor,Hawaii",NA,NA,55,"NAVFAC / BLDG 166 INDOOR","NAVFAC","Bldg 166 South Ave","Pearl Harbor","Hawaii",1,"Public","Government (Fed, State)",-157.97621,21.3518051,"BLDG166SOUTHAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MAUI ELECTRIC / MECO 002","MECO","W Kamehameha Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Workplace","W Kamehameha Ave,Kahului,Hawaii",NA,NA,57,"MAUI ELECTRIC / MECO 002","MECO","W Kamehameha Ave","Kahului","Hawaii",2,"Public","Workplace",-156.4694056,20.8875471,"WKAMEHAMEHAAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"KUALA / STATION 2","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",96782,"Honolulu County","United States",1,"Public","Workplace","1260 Kuala St,Pearl City,Hawaii",NA,NA,59,"KUALA / STATION 2","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",1,"Public","Workplace",-157.9704538,21.4025671,"1260KUALASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"KUALA / STATION 2","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",96782,"Honolulu County","United States",1,"Public","Workplace","1260 Kuala St,Pearl City,Hawaii",NA,NA,60,"KUALA / STATION 1","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",1,"Public","Workplace",-157.9704538,21.4025671,"1260KUALASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"KUALA / STATION 1","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",96782,"Honolulu County","United States",1,"Public","Workplace","1260 Kuala St,Pearl City,Hawaii",NA,NA,59,"KUALA / STATION 2","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",1,"Public","Workplace",-157.9704538,21.4025671,"1260KUALASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"KUALA / STATION 1","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",96782,"Honolulu County","United States",1,"Public","Workplace","1260 Kuala St,Pearl City,Hawaii",NA,NA,60,"KUALA / STATION 1","Hickam Federal Credit Union","1260 Kuala St","Pearl City","Hawaii",1,"Public","Workplace",-157.9704538,21.4025671,"1260KUALASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"KS OFFICE EV / KS OFFICE EV","Kihei Shores Condominiums","2776 Kauhale St","Kihei","Hawaii",96753,"Maui County","United States",2,"Public","Multifamily Commercial","2776 Kauhale St,Kihei,Hawaii",NA,NA,61,"KS OFFICE EV / KS OFFICE EV","Kihei Shores Condominiums","2776 Kauhale St","Kihei","Hawaii",2,"Public","Multifamily Commercial",-156.4399609,20.7109729,"2776KAUHALESTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"KP ANNEX / KP ANNEX","Kamehameha Schools","768 South St","Honolulu","Hawaii",96813,"Honolulu County","United States",2,"Public","Workplace","768 South St,Honolulu,Hawaii",NA,NA,62,"KP ANNEX / KP ANNEX","Kamehameha Schools","768 South St","Honolulu","Hawaii",2,"Public","Workplace",-157.857308,21.303002,"768SOUTHSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"KO'OLINA BC / MOANA","Marriott Ko","92-159 Waipahe Pl","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Hospitality","92-159 Waipahe Pl,Kapolei,Hawaii",NA,NA,64,"KO'OLINA BC / MOANA","Marriott Ko","92-159 Waipahe Pl","Kapolei","Hawaii",2,"Public","Hospitality",-158.1193169,21.3317483,"92159WAIPAHEPLACE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"KEAUHOUPLACE / 7TH FLOOR","AOUO of Keauhou Place","570 Halekauwila St","Honolulu","Hawaii",96813,"Honolulu County","United States",2,"Public","Multifamily Commercial","570 Halekauwila St,Honolulu,Hawaii",NA,NA,66,"KEAUHOUPLACE / 7TH FLOOR","AOUO of Keauhou Place","570 Halekauwila St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.860015,21.302344,"570HALEKAUWILASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"KEAUHOUPLACE / 6TH FLOOR","AOUO of Keauhou Place","619-629 Halekauwila St","Honolulu","Hawaii",96813,"Honolulu County","United States",2,"Public","Multifamily Commercial","619-629 Halekauwila St,Honolulu,Hawaii",NA,NA,67,"KEAUHOUPLACE / 6TH FLOOR","AOUO of Keauhou Place","619-629 Halekauwila St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8595303,21.3015437,"619629HALEKAUWILASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"KEAUHOUPLACE / 6TH FLOOR","AOUO of Keauhou Place","619-629 Halekauwila St","Honolulu","Hawaii",96813,"Honolulu County","United States",2,"Public","Multifamily Commercial","619-629 Halekauwila St,Honolulu,Hawaii",NA,NA,68,"KEAUHOUPLACE / 5TH FLOOR","AOUO of Keauhou Place","619-629 Halekauwila St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8595303,21.3015437,"619629HALEKAUWILASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
